question,label,answer
millet ल stem borer झल तर कय करव,CROP_DISEASE,crop_disease
how much npk for banana,FERTILIZER_SUGGESTION,fertilizer_suggestion
groundnut me whitefly ka ilaj kya hai,CROP_DISEASE,crop_disease
which fertilizer is best for groundnut,FERTILIZER_SUGGESTION,fertilizer_suggestion
maize ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
which fertilizer is best for potato,FERTILIZER_SUGGESTION,fertilizer_suggestion
grapes me whitefly ka ilaj kya hai,CROP_DISEASE,crop_disease
best nutrients for soybean,FERTILIZER_SUGGESTION,fertilizer_suggestion
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
millet ke liye beej kaunsa le,SEED_GUIDE,seed_guide
cotton ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
onion me leaf spot ka ilaj kya hai,CROP_DISEASE,crop_disease
is drip irrigation good for onion,IRRIGATION_GUIDE,irrigation_guide
how to reduce soil acidity,SOIL_HEALTH,soil_health
rice ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
tomato सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
wheat ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
आज पऊस यईल क,WEATHER_QUERY,weather_query
best seed variety for onion,SEED_GUIDE,seed_guide
high yield variety of potato,SEED_GUIDE,seed_guide
rice ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
is drip irrigation good for sunflower,IRRIGATION_GUIDE,irrigation_guide
rice me leaf spot ka ilaj kya hai,CROP_DISEASE,crop_disease
groundnut disease blight treatment,CROP_DISEASE,crop_disease
what is todays weather,WEATHER_QUERY,weather_query
which hybrid seeds are good for soybean,SEED_GUIDE,seed_guide
how to improve soil health,SOIL_HEALTH,soil_health
how to avoid insects while storing soybean,STORAGE_GUIDE,storage_guide
rice ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
when should i irrigate banana,IRRIGATION_GUIDE,irrigation_guide
how to improve soil health,SOIL_HEALTH,soil_health
cotton ke liye beej kaunsa le,SEED_GUIDE,seed_guide
pulses ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
storage method for banana,STORAGE_GUIDE,storage_guide
when should i irrigate cotton,IRRIGATION_GUIDE,irrigation_guide
best nutrients for cotton,FERTILIZER_SUGGESTION,fertilizer_suggestion
what is todays weather,WEATHER_QUERY,weather_query
how to reduce soil acidity,SOIL_HEALTH,soil_health
millet सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
which fertilizer is best for cotton,FERTILIZER_SUGGESTION,fertilizer_suggestion
which fertilizer is best for onion,FERTILIZER_SUGGESTION,fertilizer_suggestion
sunflower कस सठवव,STORAGE_GUIDE,storage_guide
grapes ल bollworm झल तर कय करव,CROP_DISEASE,crop_disease
pulses ko kaise store kare,STORAGE_GUIDE,storage_guide
which hybrid seeds are good for sunflower,SEED_GUIDE,seed_guide
rice सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
grapes सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
onion ke liye beej kaunsa le,SEED_GUIDE,seed_guide
आज पऊस यईल क,WEATHER_QUERY,weather_query
pulses ल aphids झल तर कय करव,CROP_DISEASE,crop_disease
will it rain today in mumbai,WEATHER_QUERY,weather_query
which hybrid seeds are good for sugarcane,SEED_GUIDE,seed_guide
when should i irrigate potato,IRRIGATION_GUIDE,irrigation_guide
banana ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
how to protect potato from root rot,CROP_DISEASE,crop_disease
best compost for healthy soil,SOIL_HEALTH,soil_health
millet कस सठवव,STORAGE_GUIDE,storage_guide
pulses ke liye beej kaunsa le,SEED_GUIDE,seed_guide
symptoms of blast in maize,CROP_DISEASE,crop_disease
wheat ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
